variable_name,official_label_description,position,format,valid_values_categories,universe_applicability,analytical_role,proposed_treatment,source_reference
PUMFID,Record identification,1-5,M00345F,99996=Valid skip; 99997=Don't know; 99998=Refusal; 99999=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
WGHT_PER,Person weight,6-15,M00003F,99999.9996=Valid skip; 99999.9997=Don't know; 99999.9998=Refusal; 99999.9999=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1FGIV,Giving flag,875-875,D00036F,1=Giver; 2=Non-giver; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DATOT,Total amount of donations,1061-1072,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DNTOT,Total number of financial donations,1059-1060,M00316F,96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DAX05,Amount of donations (15) - Health,1319-1330,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DNX05,Number of donations (15) - Health,1249-1250,M00340F,0=No donations; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FV1FVOL,Volunteer flag,51-51,D00012F,1=Volunteer; 2=Non-volunteer; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FV_030,Formal volunteering - Fundraising,37-37,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FV_100,Formal volunteering - Health care or support,44-44,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
AGEGR10,Age group of respondent (groups of 10),16-17,D00052F,1=15 to 24 years; 2=25 to 34 years; 3=35 to 44 years; 4=45 to 54 years; 5=55 to 64 years; 6=65 to 74 years; 7=75 years and over; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GENDER2,Gender of respondent after distribution of non-binary persons,18-18,D00185F,1=Man+; 2=Woman+; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Donation channel/count/amount and giving decision variables apply to charitable donors unless documented as all-respondent flags; valid skips are retained according to the official format.,"Baseline, weight, donor definition, or segment control","Use official value labels; keep legitimate zero/none values; exclude valid skip, don't know, refusal, and not stated from valid denominators.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
